"code","country","wave","F115","F116","F117","F118","F119","F120","F121","F122","F123","X049","c2","c3","name"
36,"AU",1,2.30781758957655,2.97801302931596,1.61807817589577,3.51058631921824,3.69706840390879,4.08469055374593,4.85830618892508,4.86482084690554,2.8542345276873,5,"AU"," AUS"," AUSTRALIA"
36,"AU",3,2.06103515625,2.1435546875,1.2626953125,4.3994140625,4.04296875,4.69677734375,5.80810546875,6.03173828125,2.95263671875,6.19677734375,"AU"," AUS"," AUSTRALIA"
36,"AU",5,2.25615763546798,1.95496129486277,1.41308937368051,5.61013370865588,4.49472202674173,5.55594651653765,6.49612948627727,6.41590429275158,3.1484869809993,5.13300492610837,"AU"," AUS"," AUSTRALIA"
36,"AU",6,2.04874746106974,1.74001354096141,1.39471902505078,6.59444820582261,4.68855788761002,5.68043331076506,6.97359512525389,5,3.38591740013541,5.37576167907921,"AU"," AUS"," AUSTRALIA"
50,"BD",3,1.12262295081967,0.994754098360656,1.02098360655738,5,5,5,1.74885245901639,1.11409836065574,1.03081967213115,3.60918032786885,"BD"," BGD"," BANGLADESH"
50,"BD",4,1.15666666666667,1.052,1.02533333333333,0.992,1.14933333333333,1.28066666666667,1.542,1.07933333333333,1.012,3.14,"BD"," BGD"," BANGLADESH"
76,"BR",2,2.86139169472503,2.75476992143659,1.3675645342312,2.37878787878788,2.01851851851852,2.44500561167228,4.80639730639731,2.65824915824916,1.39169472502806,6.25420875420875,"BR"," BRA"," BRAZIL"
76,"BR",5,3.89666666666667,3.58333333333333,1.80133333333333,4.05466666666667,3.01533333333333,2.35866666666667,5.48866666666667,3.33666666666667,1.76133333333333,6.32,"BR"," BRA"," BRAZIL"
76,"BR",6,3.17362045760431,2.50269179004038,1.52018842530283,4.31493943472409,2.87146702557201,2.23755047106326,6.07267833109017,2.37415881561238,1.6043068640646,5.37685060565276,"BR"," BRA"," BRAZIL"
124,"CA",4,2.20300362506473,2.00258933195236,1.54013464526152,5.14966338684619,3.23355774210254,4.35629207664423,5.95183842568617,5.49715173485241,2.684619368203,5.23666494044537,"CA"," CAN"," CANADA"
124,"CA",5,2.18576709796673,1.78327171903882,1.51432532347505,5.21534195933457,3.06053604436229,4.3673752310536,5.8960258780037,4.9731977818854,2.52865064695009,4.85628465804067,"CA"," CAN"," CANADA"
156,"CN",2,1.57,1.53,1.332,1.143,1.188,4.625,4.568,6.377,2.538,5.126,"CN"," CHN"," CHINA"
156,"CN",3,1.56733333333333,1.49933333333333,1.19466666666667,1.17066666666667,1.164,3.69,5.13266666666667,5.32466666666667,2.644,4.65733333333333,"CN"," CHN"," CHINA"
156,"CN",4,1.319,1.518,1.242,0.771,0.998,3.171,2.849,2.918,1.382,5,"CN"," CHN"," CHINA"
156,"CN",5,1.79809141135108,1.56855851330989,1.3375188347564,1.07885484681065,1.12958312405826,1.69964841788046,2.38824711200402,2.05524861878453,1.55298844801607,5.24008036162732,"CN"," CHN"," CHINA"
